Método	Función	Corrida	Mejor Valor Global	Tiempo (s)
algoritmo genetico	Griewank	6	0.04690549840026792	0.11309194564819336
algoritmo genetico	Griewank	7	0.04690549840026792	0.1035158634185791
algoritmo genetico	Griewank	8	0.04690549840026792	0.13753247261047363
algoritmo genetico	Griewank	9	0.04690549840026792	0.14407706260681152
algoritmo genetico	Griewank	10	0.04690549840026792	0.13455796241760254
algoritmo genetico	Goldstein_Price	1	15.030519970573065	0.09753847122192383
algoritmo genetico	Goldstein_Price	2	3.0030446430139603	0.09453320503234863
algoritmo genetico	Goldstein_Price	3	3.0030446430139603	0.08254098892211914
algoritmo genetico	Goldstein_Price	4	3.0030446430139603	0.0785360336303711
algoritmo genetico	Goldstein_Price	5	3.0030446430139603	0.08200764656066895
algoritmo genetico	Goldstein_Price	6	3.0030446430139603	0.08252525329589844
algoritmo genetico	Goldstein_Price	7	3.0030446430139603	0.08053302764892578
algoritmo genetico	Goldstein_Price	8	3.0030446430139603	0.08053421974182129
algoritmo genetico	Goldstein_Price	9	3.0011397310837338	0.07335352897644043
algoritmo genetico	Goldstein_Price	10	3.000571980275727	0.07000994682312012
algoritmo genetico	Camel_Six_Humps	1	-1.0316215871070915	0.09052228927612305
algoritmo genetico	Camel_Six_Humps	2	-1.0316215871070915	0.07753491401672363
algoritmo genetico	Camel_Six_Humps	3	-1.0316215871070915	0.07352304458618164
algoritmo genetico	Camel_Six_Humps	4	-1.0316215871070915	0.07301545143127441
algoritmo genetico	Camel_Six_Humps	5	-1.0316215871070915	0.08931374549865723
algoritmo genetico	Camel_Six_Humps	6	-1.0316215871070915	0.08752083778381348
algoritmo genetico	Camel_Six_Humps	7	-1.0316215871070915	0.09154248237609863
algoritmo genetico	Camel_Six_Humps	8	-1.0316215871070915	0.09555554389953613
algoritmo genetico	Camel_Six_Humps	9	-1.0316215871070915	0.08553385734558105
algoritmo genetico	Camel_Six_Humps	10	-1.0316215871070915	0.08654356002807617
gradiente descendente	Rosenbrock	1	0.7681566655413016	0.004996061325073242
gradiente descendente	Rosenbrock	2	0.7681566655413016	0.006002187728881836
gradiente descendente	Rosenbrock	3	0.7681566655413016	0.004999876022338867
gradiente descendente	Rosenbrock	4	0.7681566655413016	0.005000591278076172
gradiente descendente	Rosenbrock	5	0.7681566655413016	0.004999876022338867
gradiente descendente	Rosenbrock	6	0.7681566655413016	0.0050008296966552734
gradiente descendente	Rosenbrock	7	0.7681566655413016	0.005000591278076172
gradiente descendente	Rosenbrock	8	0.7681566655413016	0.002997875213623047
gradiente descendente	Rosenbrock	9	0.7681566655413016	0.005000114440917969
gradiente descendente	Rosenbrock	10	0.7681566655413016	0.003998756408691406
gradiente descendente	Rastrigin	1	0.27454211541966345	0.0030090808868408203
gradiente descendente	Rastrigin	2	0.27454211541966345	0.003998279571533203
gradiente descendente	Rastrigin	3	0.27454211541966345	0.0029981136322021484
gradiente descendente	Rastrigin	4	0.27454211541966345	0.004004240036010742
gradiente descendente	Rastrigin	5	0.27454211541966345	0.0035185813903808594
gradiente descendente	Rastrigin	6	0.27454211541966345	0.003006458282470703
gradiente descendente	Rastrigin	7	0.27454211541966345	0.003997802734375
gradiente descendente	Rastrigin	8	0.27454211541966345	0.004000663757324219
gradiente descendente	Rastrigin	9	0.27454211541966345	0.00299835205078125
gradiente descendente	Rastrigin	10	0.27454211541966345	0.0030031204223632812
gradiente descendente	Schwefel	1	0.5523544855485625	0.0029985904693603516
gradiente descendente	Schwefel	2	0.5523544855485625	0.002997159957885742
gradiente descendente	Schwefel	3	0.5523544855485625	0.004004478454589844
gradiente descendente	Schwefel	4	0.5523544855485625	0.0030024051666259766
gradiente descendente	Schwefel	5	0.5523544855485625	0.0039980411529541016
gradiente descendente	Schwefel	6	0.5523544855485625	0.0019996166229248047
gradiente descendente	Schwefel	7	0.5523544855485625	0.0029954910278320312
gradiente descendente	Schwefel	8	0.5523544855485625	0.004004001617431641
gradiente descendente	Schwefel	9	0.5523544855485625	0.002000093460083008
gradiente descendente	Schwefel	10	0.5523544855485625	0.0030012130737304688
gradiente descendente	Griewank	1	3.3064754982614657	0.006994962692260742
gradiente descendente	Griewank	2	3.3064754982614657	0.007004261016845703
gradiente descendente	Griewank	3	3.3064754982614657	0.007000446319580078
gradiente descendente	Griewank	4	3.3064754982614657	0.006998777389526367
gradiente descendente	Griewank	5	3.3064754982614657	0.007009029388427734
gradiente descendente	Griewank	6	3.3064754982614657	0.008002042770385742
gradiente descendente	Griewank	7	3.3064754982614657	0.007525205612182617
gradiente descendente	Griewank	8	3.3064754982614657	0.007000923156738281
gradiente descendente	Griewank	9	3.3064754982614657	0.00999903678894043
gradiente descendente	Griewank	10	3.3064754982614657	0.009000539779663086
gradiente descendente	Goldstein_Price	1	3.2427132895716166	0.004999637603759766
gradiente descendente	Goldstein_Price	2	3.2427132895716166	0.0050013065338134766
gradiente descendente	Goldstein_Price	3	3.2427132895716166	0.006000041961669922
gradiente descendente	Goldstein_Price	4	3.2427132895716166	0.004999399185180664
gradiente descendente	Goldstein_Price	5	3.2427132895716166	0.005997180938720703
gradiente descendente	Goldstein_Price	6	3.2427132895716166	0.005003452301025391
gradiente descendente	Goldstein_Price	7	3.2427132895716166	0.0050008296966552734
gradiente descendente	Goldstein_Price	8	3.2427132895716166	0.00499725341796875
gradiente descendente	Goldstein_Price	9	3.2427132895716166	0.004999876022338867
gradiente descendente	Goldstein_Price	10	3.2427132895716166	0.0050008296966552734
gradiente descendente	Camel_Six_Humps	1	-1.0263393608776914	0.0029993057250976562
gradiente descendente	Camel_Six_Humps	2	-1.0263393608776914	0.0019969940185546875
gradiente descendente	Camel_Six_Humps	3	-1.0263393608776914	0.0030117034912109375
gradiente descendente	Camel_Six_Humps	4	-1.0263393608776914	0.0019986629486083984
gradiente descendente	Camel_Six_Humps	5	-1.0263393608776914	0.003000974655151367
gradiente descendente	Camel_Six_Humps	6	-1.0263393608776914	0.003000497817993164
gradiente descendente	Camel_Six_Humps	7	-1.0263393608776914	0.0029985904693603516
gradiente descendente	Camel_Six_Humps	8	-1.0263393608776914	0.0025229454040527344
gradiente descendente	Camel_Six_Humps	9	-1.0263393608776914	0.001998424530029297
gradiente descendente	Camel_Six_Humps	10	-1.0263393608776914	0.0030012130737304688
